airline,city,delay
United Air Lines Inc ,Medford,0.0
American Airlines Inc.,Medford,0.0
US Airways Inc.,Medford,0.0
Frontier Airlines Inc.,Medford,0.0
JetBlue Airways,Medford,0.0
Skywest Airlines Inc.,Medford,7.496514965149651
Alaska Airlines Inc.,Medford,0.0
Spirit Air Lines,Medford,0.0
Southwest Airlines Co.,Medford,0.0
Delta Air Lines Inc.,Medford,0.0
Atlantic Southeast Airlines,Medford,0.0
Hawaiian Airlines Inc.,Medford,0.0
American Eagle Airlines Inc.,Medford,0.0
Virgin America,Medford,0.0
United Air Lines Inc.,Idaho Falls,0.0
American Airlines Inc.,Idaho Falls,0.0
US Airways Inc.,Idaho Falls,0.0
Frontier Airlines Inc.,Idaho Falls,4.5
JetBlue Airways,Idaho Falls,0.0
Skywest Airlines Inc.,Idaho Falls,0.6786355475763016
Alaska Airlines Inc.,Idaho Falls,0.0
Spirit Air Lines,Idaho Falls,0.0
Southwest Airlines Co.,Idaho Falls,0.0
Delta Air Lines Inc.,Idaho Falls,0.0
Atlantic Southeast Airlines,Idaho Falls,0.0
Hawaiian Airlines Inc.,Idaho Falls,0.0
American Eagle Airlines Inc.,Idaho Falls,0.0
Virgin America,Idaho Falls,0.0
United Air Lines Inc.,Madison,9.925049309664693
American Airlines Inc.,Madison,0.0
US Airways Inc.,Madison,0.0
Frontier Airlines Inc.,Madison,6.514150943396227
JetBlue Airways,Madison,0.0
Skywest Airlines Inc.,Madison,5.387553041018387
Alaska Airlines Inc.,Madison,0.0
Spirit Air Lines,Madison,0.0
Southwest Airlines Co.,Madison,0.0
Delta Air Lines Inc.,Madison,2.7426645519429025
Atlantic Southeast Airlines,Madison,6.833589349718382
Hawaiian Airlines Inc.,Madison,0.0
American Eagle Airlines Inc.,Madison,6.429777777777778
Virgin America,Madison,0.0
United Air Lines Inc.,Arlington,13.305077262693157
American Airlines Inc.,Arlington,7.793526658294326
US Airways Inc.,Arlington,6.149469126894135
Frontier Airlines Inc.,Arlington,6.052791878172589
JetBlue Airways,Arlington,7.516721871994871
Skywest Airlines Inc.,Arlington,12.524199045671438
Alaska Airlines Inc.,Arlington,1.027190332326284
Spirit Air Lines,Arlington,0.0
Southwest Airlines Co.,Arlington,7.341569451489023
Delta Air Lines Inc.,Arlington,9.38633963149865
Atlantic Southeast Airlines,Arlington,7.661065427243475
Hawaiian Airlines Inc.,Arlington,0.0
American Eagle Airlines Inc.,Arlington,22.021538461538462
Virgin America,Arlington,6.3618421052631575
United Air Lines Inc.,San Antonio,8.55688622754491
American Airlines Inc.,San Antonio,5.865610328638498
US Airways Inc.,San Antonio,4.10091743119266
Frontier Airlines Inc.,San Antonio,0.0
JetBlue Airways,San Antonio,0.0
Skywest Airlines Inc.,San Antonio,9.711208151382824
Alaska Airlines Inc.,San Antonio,-0.8318318318318318
Spirit Air Lines,San Antonio,0.0
Southwest Airlines Co.,San Antonio,8.362695810564663
Delta Air Lines Inc.,San Antonio,4.56091030789826
Atlantic Southeast Airlines,San Antonio,8.918053777208707
Hawaiian Airlines Inc.,San Antonio,0.0
American Eagle Airlines Inc.,San Antonio,15.154639175257731
Virgin America,San Antonio,0.0
United Air Lines Inc.,Charleston,1.3333333333333333
American Airlines Inc.,Charleston,-1.2907801418439717
US Airways Inc.,Charleston,2.015625
Frontier Airlines Inc.,Charleston,0.0
JetBlue Airways,Charleston,11.418037436188316
Skywest Airlines Inc.,Charleston,15.161921708185053
Alaska Airlines Inc.,Charleston,-1.9230769230769231
Spirit Air Lines,Charleston,0.0
Southwest Airlines Co.,Charleston,8.329506802721088
Delta Air Lines Inc.,Charleston,5.0535415504740655
Atlantic Southeast Airlines,Charleston,10.516129032258064
Hawaiian Airlines Inc.,Charleston,0.0
American Eagle Airlines Inc.,Charleston,10.670781893004115
Virgin America,Charleston,0.0
United Air Lines Inc.,Santa Barbara,0.0
American Airlines Inc.,Santa Barbara,0.0
US Airways Inc.,Santa Barbara,0.0
Frontier Airlines Inc.,Santa Barbara,22.333333333333332
JetBlue Airways,Santa Barbara,0.0
Skywest Airlines Inc.,Santa Barbara,6.464970313825276
Alaska Airlines Inc.,Santa Barbara,0.0
Spirit Air Lines,Santa Barbara,0.0
Southwest Airlines Co.,Santa Barbara,0.0
Delta Air Lines Inc.,Santa Barbara,0.0
Atlantic Southeast Airlines,Santa Barbara,0.0
Hawaiian Airlines Inc.,Santa Barbara,0.0
American Eagle Airlines Inc.,Santa Barbara,0.0
Virgin America,Santa Barbara,0.0
United Air Lines Inc.,Santa Maria,0.0
American Airlines Inc.,Santa Maria,0.0
US Airways Inc.,Santa Maria,0.0
Frontier Airlines Inc.,Santa Maria,0.0
JetBlue Airways,Santa Maria,0.0
Skywest Airlines Inc.,Santa Maria,8.89280245022971
Alaska Airlines Inc.,Santa Maria,0.0
Spirit Air Lines,Santa Maria,0.0
Southwest Airlines Co.,Santa Maria,0.0
Delta Air Lines Inc.,Santa Maria,0.0
Atlantic Southeast Airlines,Santa Maria,0.0
Hawaiian Airlines Inc.,Santa Maria,0.0
American Eagle Airlines Inc.,Santa Maria,0.0
Virgin America,Santa Maria,0.0
United Air Lines Inc.,Indianapolis,10.41523118766999
American Airlines Inc.,Indianapolis,6.46800731261426
US Airways Inc.,Indianapolis,2.393835616438356
Frontier Airlines Inc.,Indianapolis,11.709986320109438
JetBlue Airways,Indianapolis,0.0
Skywest Airlines Inc.,Indianapolis,14.817535545023697
Alaska Airlines Inc.,Indianapolis,0.0
Spirit Air Lines,Indianapolis,0.0
Southwest Airlines Co.,Indianapolis,8.461797975788848
