DESTINATION_AIRPORT,ORIGIN_AIRPORT
IAH,LAS
DFW,SEA
SLC,ANC
CLT,SLC
IAD,LAS
MSP,LAS
JFK,SLC
ATL,LAS
CLT,SFO
IAH,SEA
ORD,LAX
MIA,LAX
PDX,ANC
MIA,PHX
SEA,ANC
ATL,DEN
MSP,SFO
JFK,DEN
ORD,SFO
CVG,DEN
ORD,SEA
MSP,SEA
SEA,FAI
IAH,SMF
PHL,SFO
MSP,LAX
ORD,PDX
MSP,PDX
PHL,LAS
CLT,LAX
PHL,PHX
ORD,LAS
PHL,DEN
IAH,SFO
DFW,LAS
ATL,LAX
IAH,LAX
DFW,PHX
DFW,LAX
CLT,LAS
MCI,LAS
DFW,SFO
LGB,ANC
ATL,SLC
CLT,PHX
CLT,DEN
MIA,DEN
HNL,LAS
EWR,BQN
MCO,SJU
FLL,IAG
FLL,BQN
MCO,BQN
MCO,PSE
DFW,MFE
DFW,DEN
DFW,BOS
DFW,SAT
MIA,DFW
MIA,ORD
ORD,BOS
DFW,IAH
DFW,ORD
JFK,BQN
MSP,BIS
SEA,GEG
DFW,CRP
IAH,EWR
PHX,ORD
CLT,EWR
CLT,BOS
ITO,HNL
DFW,XNA
DFW,BPT
DFW,MAF
DFW,SGF
MSP,ABR
MSP,ISN
DFW,ICT
KOA,HNL
JFK,PSE
MSP,FAR
IAH,PHX
OGG,HNL
ORD,BNA
ORD,FSD
ORD,PHL
MIA,MCO
CLT,TPA
CLT,DFW
DEN,PHX
IAH,TUS
SFO,PDX
DFW,EWR
ORD,MSP
DFW,TUL
DFW,TUS
MIA,BOS
DFW,FSM
IAH,MSY
IAH,ORD
PHX,SEA
PHX,STL
PHX,PDX
CLT,PIT
CLT,MSP
CLT,BWI
MDW,MCI
RNO,LAS
DFW,CLL
DFW,SJT
MYR,BOS
FLL,ORD
IAH,MKE
DFW,AUS
LIH,HNL
DFW,MSP
ATL,MCO
ATL,TPA
ATL,VPS
ATL,MSP
CLT,MCO
DEN,PDX
DAL,LAX
TPA,PIT
SEA,SMF
IAH,HRL
ORD,PIA
MSP,BJI
ORD,ICT
ORD,COU
IAH,BRO
SFO,SEA
DEN,SEA
MIA,IAH
DFW,MCI
DFW,PDX
SJU,JFK
ATL,GSO
ATL,ORF
DFW,ACT
IAH,BTR
CLT,IAH
CLT,RDU
MCO,MCI
MCO,IND
OAK,LAS
ONT,SMF
LAX,OAK
LAX,PHX
IAH,MFE
SLC,LWS
DFW,PHL
DFW,TYR
DFW,IAD
DFW,DCA
DFW,BWI
ORD,STL
ATL,AGS
ATL,BHM
ATL,CLT
MSP,ANC
ATL,JAX
ATL,HSV
MSP,BOI
ATL,BNA
MSP,MSO
ATL,SAV
ATL,CHS
ORD,CLT
DFW,SPS
IAH,DSM
IAH,SAT
ORD,IAH
ORD,LNK
CLT,RIC
PHL,BOS
IAH,PHL
IAH,AUS
BWI,MDW
LAX,MDW
MCI,MDW
PHL,MDW
MKE,MSP
BWI,AUS
DAL,AUS
MDW,BNA
BWI,BOS
MCO,BUF
DEN,CAK
BNA,DEN
BWI,DEN
LAS,DEN
BWI,FNT
BWI,GRR
LAX,HOU
MDW,HOU
PHX,LAS
OAK,LAX
BWI,PIT
BWI,PWM
BWI,SAT
ATL,SFO
LAX,SMF
LAX,TUS
MDW,OMA
PHX,ONT
HOU,PHX
IAH,LFT
ATL,BTR
ATL,SHV
MCO,PHL
DFW,ABI
DFW,FWA
SFO,ONT
DEN,RKS
IAH,DFW
DFW,LAW
ORD,CMI
DEN,ORD
MIA,MSP
ORD,DCA
ATL,ORD
IAH,AEX
IAH,SHV
CLT,ORD
BNA,MCI
LAS,MDW
PHX,MDW
STL,MDW
BWI,MHT
LAS,AUS
BWI,BDL
MCO,CMH
HOU,DEN
BWI,DTW
MDW,LAS
SJC,LAX
MCO,PIT
BWI,RDU
BWI,ROC
MDW,SAT
MDW,STL
SLC,OAK
PHX,OMA
SMF,ONT
LAS,PDX
IAH,CRP
ORD,GRB
ORD,OMA
ORD,MCI
ATL,DHN
MIA,BHM
SFO,RDD
DEN,EUG
MSP,DIK
DTW,ESC
EWR,BDL
MIA,MEM
DFW,MIA
DCA,DFW
ATL,GSP
ATL,PBI
ATL,TLH
DTW,BOS
ATL,ATW
DEN,SMF
CLT,DCA
DAL,MDW
DCA,MDW
MDW,MEM
BWI,MKE
BWI,MSY
BWI,ALB
DAL,ATL
MCO,ATL
MDW,BOS
BWI,CLE
MSY,HOU
BWI,IND
BWI,LAS
MKE,LAS
DAL,LIT
MDW,RDU
LAS,SAT
DEN,SFO
LAS,SMF
SAN,SMF
MCO,MSY
BNA,PHL
TPA,PHL
ATL,MGM
IAH,GRK
ORD,MSN
MSP,BRD
DEN,MFR
DEN,SLC
ATL,OMA
DEN,IAH
DTW,MKE
ORD,CMX
DFW,SMF
DFW,LGA
DFW,RIC
ORD,DFW
DFW,FLL
MIA,PHL
JFK,SJU
ATL,ECP
ATL,PHL
DTW,GRR
ATL,JAN
ATL,FLL
IAH,IAD
DEN,LAX
PHX,DEN
PHX,MCI
IAH,BWI
IAD,BOS
CMH,MDW
DEN,MDW
HOU,MDW
DEN,MKE
MCI,MSP
MCO,BNA
BWI,BUF
MDW,CLT
RSW,CMH
ATL,DTW
DAL,ELP
PHX,ELP
HOU,LAS
LAS,LAX
BWI,PVD
BNA,RDU
LAS,RNO
DAL,SAT
LAS,SFO
PHX,SLC
PHX,SMF
BWI,STL
HOU,STL
DAL,TUL
LAS,TUS
HOU,MSY
DEN,OAK
HOU,OAK
SAN,OAK
LAS,PHX
MKE,PHX
SAN,PHX
IAH,LCH
ATL,AEX
ATL,VLD
ATL,CAE
DEN,SBA
JMS,DVL
IAH,OMA
ORD,CHO
DFW,VPS
IAH,DCA
ORD,MKE
LAX,LAS
JFK,BOS
DEN,GEG
DFW,CID
DFW,DTW
MIA,EWR
DFW,PIT
DFW,OMA
DTW,TVC
ATL,AVL
DTW,PHL
SLC,MCI
JFK,BUF
EWR,ATL
PHX,IAH
CLT,ATL
DEN,RDM
DAL,MAF
DAL,MCI
LGA,MDW
STL,MKE
LAS,ABQ
DAL,AMA
LAX,AUS
MDW,AUS
ATL,BOS
DEN,IAD
TPA,MSY
LAS,OAK
MDW,ORF
MDW,PHL
EWR,DTW
DFW,BMI
ORD,TYS
DEN,BIL
DEN,BFL
MSP,HLN
ATL,RSW
DFW,BNA
LGA,ORD
ATL,DSM
IAH,LGA
LAX,SLC
MIA,JFK
JFK,SYR
JFK,PWM
MSP,SLC
MSP,BOS
SLC,SAT
ATL,RIC
IAH,CLL
EWR,JAX
EWR,BOS
BWI,MCI
BNA,MDW
MDW,ATL
DEN,BNA
ATL,CAK
BWI,CMH
MDW,GSP
OKC,HOU
PHX,LAX
DAL,LBB
PHX,RNO
STL,SAT
BWI,OKC
DEN,OKC
MDW,PDX
ABQ,PHX
LAX,ABQ
IAH,BNA
DFW,SLC
DFW,RNO
DFW,RDU
CLT,STL
ORD,OKC
ORD,LGA
LAX,JFK
JFK,LAX
MIA,MSY
MIA,DCA
MIA,SJU
LGA,DFW
DFW,DAY
DFW,CLT
DFW,FAT
MIA,LGA
MCO,DFW
ORD,PHX
SEA,ORD
ANC,FAI
JNU,SIT
ANC,SEA
OAK,SEA
LAX,SEA
SEA,LAX
MCO,EWR
MCO,BOS
JFK,ORD
JFK,PBI
JFK,ROC
LGA,MCO
JFK,BTV
LGA,FLL
BOS,RIC
MCO,JFK
FLL,JFK
LGB,SFO
LGA,PBI
JFK,MSY
JFK,AUS
JFK,RDU
JFK,MCO
JFK,FLL
DCA,BOS
JFK,JAX
BOS,DCA
LGA,MIA
DTW,DCA
ATL,LGA
ATL,FAY
ATL,RDU
ATL,LIT
ATL,MEM
ATL,SRQ
JFK,PDX
ATL,ALB
ATL,PHF
LGA,ATL
DTW,LGA
ATL,MKE
ATL,SAT
DTW,PHX
ATL,DCA
ATL,PHX
ATL,ELP
DTW,RDU
ATL,LFT
ATL,MCI
ATL,IND
ATL,BDL
ATL,DAB
ATL,CVG
ATL,STL
MSP,BZN
ATL,PNS
ATL,BUF
DTW,CLT
ATL,CMH
MSP,DEN
ATL,IAD
ATL,ICT
ATL,MIA
ATL,XNA
ATL,AVP
ATL,MDT
ATL,EVV
ATL,CLE
LGA,BOS
BOS,LGA
ATL,OKC
ATL,BWI
SLC,SEA
DTW,PVD
SEA,JNU
SLC,PDX
ATL,MSN
ATL,TUL
ATL,DFW
SLC,BOI
DTW,LAS
ATL,DAY
DTW,ALB
ATL,FNT
ATL,SYR
ATL,MDW
SLC,STL
ATL,SDF
ATL,COS
ATL,ROC
JFK,LAS
SEA,ONT
SEA,PHX
SEA,DEN
DFW,BRO
EWR,DSM
IAH,TYS
SFO,DEN
IAH,PDX
BOS,ORD
IAH,PIT
IAH,DEN
SFO,JFK
DEN,RNO
LAX,SFO
LAX,ORD
LAX,EWR
EWR,PHX
MCO,ORD
LAX,BOS
SFO,PIT
ORD,TPA
IAD,SFO
EWR,AUS
DCA,ORD
PHX,IND
PHX,DFW
PHX,SFO
PHL,RSW
CLT,PVD
PHL,ORD
CLT,BDL
CLT,MEM
PHL,FLL
PHL,MIA
DCA,LGA
LGA,DCA
SFO,DFW
EWR,LAX
EWR,SFO
ORD,MIA
SAN,SFO
SFO,BOS
EWR,MDW
MCO,MDW
MDW,MHT
MCO,MKE
DAL,MSY
DAL,ABQ
BWI,ATL
BNA,AUS
AUS,DAL
HOU,DAL
LAX,DAL
MSY,DAL
BWI,DAY
BNA,DCA
MDW,DEN
MDW,DSM
MDW,EWR
BWI,FLL
ATL,HOU
DAL,HOU
MCO,HOU
DAL,ICT
LAS,IND
BWI,ISP
SJC,LAS
STL,LAS
MDW,LGA
ATL,PIT
MDW,PVD
BWI,RSW
BNA,SAT
MDW,SDF
MDW,SEA
MDW,SFO
DAL,STL
MDW,TPA
PVD,TPA
DAL,OAK
MDW,OAK
PDX,OAK
SEA,OAK
DEN,ONT
SJC,ONT
BUR,PHX
BWI,PHX
MDW,PHX
EWR,SDF
DTW,EWR
IAH,GPT
IAH,JAN
EWR,ROC
CLE,DCA
IAH,PIA
IAH,LRD
ATL,PIA
ATL,SBN
DTW,OKC
ATL,ILM
ATL,HPN
LGA,ROC
ATL,ABY
DTW,ABE
ATL,CID
ATL,IAH
ATL,MLI
ATL,EWN
DTW,BTV
ATL,MLU
LGA,GSO
ATL,OAJ
ATL,CHA
IAH,MCI
IAD,EWR
DEN,DTW
SFO,IAH
ORD,DEN
DEN,AUS
DEN,MSP
MCO,TTN
LGA,BNA
ORD,LIT
ORD,ABQ
DFW,SPI
ORD,MHK
MIA,CMH
DFW,GPT
DFW,GRI
ORD,MEM
ORD,FAR
LAS,DTW
LAX,IAH
EWR,MEM
SEA,PDX
DEN,PSP
ORD,COS
FLL,DFW
HIB,INL
DEN,RAP
SFO,SMX
DEN,FAT
DEN,PSC
DEN,DRO
SEA,FAT
LAX,SAT
SFO,ACV
SFO,SBA
SFO,EUG
LAX,SJC
DTW,PLN
DEN,GCC
RHI,IMT
DTW,FWA
DEN,GJT
SFO,PSC
SLC,CPR
SFO,MRY
MSP,GTF
CVG,EWR
LAX,BWI
PBI,EWR
EWR,CHS
SFO,LAX
EWR,CVG
ORD,ELM
CLE,MKE
ORD,CLE
EWR,CLE
DFW,ONT
DFW,PSP
MIA,MCI
DFW,TPA
DFW,CMH
FLL,LGA
SLC,MCO
SLC,ABQ
ATL,LEX
SNA,SEA
LAS,SEA
DFW,SAV
ORD,LAN
CMH,ORD
SEA,SFO
DEN,LAS
IAH,BOS
ORD,MCO
LGA,CLT
BOS,EWR
DTW,MDW
TPA,MDW
RSW,MKE
MDW,ABQ
RDU,BNA
MCO,BWI
ATL,DAL
LAS,DAL
MDW,DAL
SAT,DAL
DAL,DCA
HOU,DCA
STL,HOU
SMF,LAX
LAS,SLC
DEN,STL
LGA,STL
BUR,OAK
IAH,CLE
BOS,CLE
ORD,ATW
